	queryItem	preferredName
506	CCT2	CCT2
507	NCAPD3	NCAPD3
508	QSOX2	QSOX2
509	SCML2	SCML2
510	MARCHF2	MARCHF2
511	CDNF	CDNF
512	WBP1L	WBP1L
513	YWHAQ	YWHAQ
514	ACTL6A	ACTL6A
515	OTX1	OTX1
516	MSH6	MSH6
517	SPDL1	SPDL1
518	ARPC5	ARPC5
519	TBC1D31	TBC1D31
520	TDO2	TDO2
521	LRR1	LRR1
522	RAN	RAN
523	CTDSP1	CTDSP1
524	ATP5F1C	ATP5F1C
525	ZNF93	ZNF93
526	OIP5	OIP5
527	ZDHHC23	ZDHHC23
528	TOMM34	TOMM34
529	HSPA14	HSPA14
530	CAD	CAD
531	RNFT2	RNFT2
532	ANP32B	ANP32B
533	NOLC1	NOLC1
534	CMAS	CMAS
535	POP1	POP1
536	RTKN2	RTKN2
537	CDK16	CDK16
538	PDSS1	PDSS1
539	PSMD11	PSMD11
540	GTPBP4	GTPBP4
541	NASP	NASP
542	RFC5	RFC5
543	EIF2S2	EIF2S2
544	NDE1	NDE1
545	PARPBP	PARPBP
546	CCT6A	CCT6A
547	XPO5	XPO5
548	VRK1	VRK1
549	SEC61A2	SEC61A2
550	FOXP1	FOXP1
551	TRIM24	TRIM24
552	COQ2	COQ2
553	NLN	NLN
554	CSTF2	CSTF2
555	PRIM1	PRIM1
556	IGBP1	IGBP1
557	CCDC58	CCDC58
558	RCCD1	RCCD1
559	CASP3	CASP3
560	MTCH2	MTCH2
561	ZNF146	ZNF146
562	TPRG1L	TPRG1L
563	PDCD10	PDCD10
564	ME2	ME2
565	YARS1	YARS1
566	TFR2	TFR2
567	SUV39H2	SUV39H2
568	CENPQ	CENPQ
569	RPN1	RPN1
570	MDC1	MDC1
571	CDK2	CDK2
572	DNMT3A	DNMT3A
573	PAK1IP1	PAK1IP1
574	FAM171A2	FAM171A2
575	ATAD5	ATAD5
576	FAM136A	FAM136A
577	CDK8	CDK8
578	CHORDC1	CHORDC1
579	XPO6	XPO6
580	GARS1	GARS1
581	PNPT1	PNPT1
582	POLE	POLE
583	TPGS2	TPGS2
584	BRCA2	BRCA2
585	C4orf46	C4orf46
586	CCT8	CCT8
587	RHEBL1	RHEBL1
588	GEN1	GEN1
589	TIMM23	TIMM23
590	YRDC	YRDC
591	MAGOHB	MAGOHB
592	SMC6	SMC6
593	NAA50	NAA50
594	NAV3	NAV3
595	DHRS12	DHRS12
596	CIT	CIT
597	CCT7	CCT7
598	SSBP1	SSBP1
599	ARHGEF39	ARHGEF39
600	CEBPG	CEBPG
601	BRIX1	BRIX1
602	SF3B6	SF3B6
603	PDCD2L	PDCD2L
604	UPF3B	UPF3B
605	XXYLT1	XXYLT1
606	TBC1D7	TBC1D7
607	MAPRE1	MAPRE1
608	INTS13	INTS13
609	CASP2	CASP2
610	VTA1	VTA1
611	DNAJC9	DNAJC9
612	TTF2	TTF2
613	LCLAT1	LCLAT1
614	C18orf54	C18orf54
615	MSH2	MSH2
616	ANKRD27	ANKRD27
617	PDCD11	PDCD11
618	SASS6	SASS6
619	NUDT5	NUDT5
620	MRPL3	MRPL3
621	EIF5B	EIF5B
622	ALG6	ALG6
623	LYRM9	LYRM9
624	TRMT6	TRMT6
625	SMPD4	SMPD4
626	WDR43	WDR43
627	NAT10	NAT10
628	R3HDM1	R3HDM1
629	BORA	BORA
630	MRPL39	MRPL39
631	TRMT10C	TRMT10C
632	CENPJ	CENPJ
633	FAAP24	FAAP24
634	ISCU	ISCU
635	HAUS8	HAUS8
636	AIMP2	AIMP2
637	SSRP1	SSRP1
638	CCT4	CCT4
639	SNX33	SNX33
640	PRIM2	PRIM2
641	STRAP	STRAP
642	ZNF385D	ZNF385D
643	PEX13	PEX13
644	KHSRP	KHSRP
645	RHEB	RHEB
646	MTBP	MTBP
647	CCDC77	CCDC77
648	TDG	TDG
649	RAD18	RAD18
650	RRP36	RRP36
651	NSUN2	NSUN2
652	GPSM2	GPSM2
653	TFG	TFG
654	PIF1	PIF1
655	XYLB	XYLB
656	GART	GART
657	DNAJB11	DNAJB11
658	EIF4G1	EIF4G1
659	GINS3	GINS3
660	WRNIP1	WRNIP1
661	MARS2	MARS2
662	POLE3	POLE3
663	CMSS1	CMSS1
664	XPO1	XPO1
665	RRP1B	RRP1B
666	NOP58	NOP58
667	PPRC1	PPRC1
668	SMIM13	SMIM13
669	SRSF2	SRSF2
670	VPS11	VPS11
671	MARS1	MARS1
672	CHCHD3	CHCHD3
673	SEPHS1	SEPHS1
674	CTNND1	CTNND1
675	AGMAT	AGMAT
676	ZFP69B	ZFP69B
677	PSMC3IP	PSMC3IP
678	PRPF4	PRPF4
679	RIOK1	RIOK1
680	RCN2	RCN2
681	WDR5	WDR5
682	OSTC	OSTC
683	CEP72	CEP72
684	TIPIN	TIPIN
685	GPR19	GPR19
686	KIAA1841	KIAA1841
687	GDI2	GDI2
688	MORC2	MORC2
689	TXNDC9	TXNDC9
690	DDOST	DDOST
691	SEC61A1	SEC61A1
692	VCP	VCP
693	MFSD13A	MFSD13A
694	KBTBD3	KBTBD3
695	SET	SET
696	ABCF1	ABCF1
697	PNO1	PNO1
698	NUP107	NUP107
699	TK2	TK2
700	CDK4	CDK4
701	CDC123	CDC123
702	SKP2	SKP2
703	RTCA	RTCA
704	ZNF582	ZNF582
705	BOLA3	BOLA3
706	MTFR1L	MTFR1L
707	FAM98A	FAM98A
708	HMCES	HMCES
709	CPSF3	CPSF3
710	PSMD1	PSMD1
711	LARP4B	LARP4B
712	PITRM1	PITRM1
713	LSG1	LSG1
714	EIF1AD	EIF1AD
715	DCLRE1B	DCLRE1B
716	WDR75	WDR75
717	NIFK	NIFK
718	NCBP2	NCBP2
719	SRSF1	SRSF1
720	RDM1	RDM1
721	CCDC59	CCDC59
722	NCL	NCL
723	POLR1G	CD3EAP
724	TPRKB	TPRKB
725	STN1	STN1
726	TIMM8A	TIMM8A
727	TEX30	TEX30
728	STARD7	STARD7
729	RPIA	RPIA
730	XK	XK
731	HCCS	HCCS
732	ELK1	ELK1
733	KDM1A	KDM1A
734	PEBP4	PEBP4
735	ACP1	ACP1
736	SENP5	SENP5
737	NONO	NONO
738	CNOT9	CNOT9
739	YARS2	YARS2
740	NUP188	NUP188
741	WDR53	WDR53
742	NANP	NANP
743	DVL3	DVL3
744	TDP1	TDP1
745	TBC1D22B	TBC1D22B
746	CLP1	CLP1
747	POLR2D	POLR2D
748	DNAJC2	DNAJC2
749	CEP78	CEP78
750	C5orf34	C5orf34
751	MRPL19	MRPL19
752	NRDC	NRDC
753	CLPB	CLPB
754	HNRNPA2B1	HNRNPA2B1
755	FARSB	FARSB
756	TXNDC15	TXNDC15
758	GLRX3	GLRX3
759	TNPO3	TNPO3
760	EXOSC2	EXOSC2
761	BTF3L4	BTF3L4
762	USP39	USP39
763	KMT5A	KMT5A
764	PSMC2	PSMC2
765	TMEM201	TMEM201
766	DERA	DERA
767	CDKAL1	CDKAL1
768	LSM14A	LSM14A
769	TIMMDC1	TIMMDC1
770	MPHOSPH10	MPHOSPH10
771	FXR1	FXR1
772	ZNF473	ZNF473
773	NUP37	NUP37
774	DCLRE1C	DCLRE1C
775	CLN6	CLN6
776	WDR12	WDR12
777	GPC2	GPC2
778	CCDC18	CCDC18
779	MBD4	MBD4
780	MCM8	MCM8
781	ZNF726	ZNF726
782	OTULIN	OTULIN
783	YPEL5	YPEL5
784	TMEM41A	TMEM41A
785	ZNF730	ZNF730
786	IMMT	IMMT
787	NOL10	NOL10
788	FTSJ1	FTSJ1
789	CSTF3	CSTF3
790	RANBP17	RANBP17
791	RBM17	RBM17
792	HNRNPD	HNRNPD
793	CCDC138	CCDC138
794	UTP14A	UTP14A
795	MTPAP	MTPAP
796	CCZ1	CCZ1
797	SCAF4	SCAF4
798	SRSF7	SRSF7
799	CLCN2	CLCN2
800	HNRNPA3	HNRNPA3
